**********************************
LOGGING TIME: 20171031_224008
CLIENT IP: 10.145.130.117
USERNAME: hp pc
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1507533537187
MM, 0, 7, 127
MM, 1, 7, 33
MM, 1, 8, 9
MM, 3, 8, 23
MM, 3, 9, 9
MM, 4, 9, 64
MM, 4, 10, 47
MM, 5, 10, 16
MM, 5, 11, 16
MM, 6, 11, 64
MM, 6, 12, 56
MC, 1, 200
MM, 5, 12, 112
MM, 4, 12, 39
MM, 3, 12, 17
MM, 1, 12, 15
MM, 43, 12, 41
MM, 35, 12, 23
MM, 25, 12, 16
MM, 13, 13, 17
MM, 0, 14, 16
MM, 29, 16, 24
MM, 15, 16, 16
MM, 38, 16, 32
MM, 22, 15, 32
MM, 13, 14, 16
MM, 44, 13, 23
MM, 20, 13, 25
MM, 40, 12, 39
MM, 41, 12, 57
MM, 35, 12, 16
MM, 34, 12, 7
MM, 33, 12, 25
MM, 32, 12, 23
MM, 30, 12, 16
MM, 29, 12, 8
MM, 28, 12, 17
MM, 28, 11, 55
MM, 27, 11, 9
MM, 26, 10, 23
MM, 23, 9, 24
MM, 21, 5, 17
MM, 18, 2, 23
MM, 18, 1, 16
MM, 17, 1, 41
MC, 1, 416
MM, 41, 0, 215
MM, 40, 0, 25
MM, 40, 1, 64
MM, 39, 2, 48
MM, 36, 5, 16
MM, 35, 5, 208
MM, 35, 6, 47
MC, 1, 313
MM, 34, 6, 120
MM, 33, 8, 72
MM, 32, 14, 32
MM, 32, 15, 16
MM, 33, 21, 40
MM, 37, 28, 25
MM, 2, 8, 40
MM, 15, 20, 32
MM, 34, 0, 80
MM, 44, 7, 32
MM, 51, 13, 32
MM, 55, 17, 23
MM, 57, 20, 32
MM, 58, 21, 25
MM, 59, 21, 39
MM, 60, 24, 26
MM, 61, 24, 31
MC, 1, 240
MM, 62, 24, 48
MM, 71, 16, 23
MM, 22, 27, 48
MM, 16, 14, 32
MM, 17, 0, 40
MM, 0, 19, 177
MM, 12, 12, 63
MM, 13, 12, 128
MM, 14, 12, 145
MC, 1, 111
MM, 13, 12, 49
MM, 12, 11, 15
MM, 8, 9, 24
MM, 4, 3, 25
MM, 21, 31, 39
MM, 18, 27, 24
MM, 17, 25, 16
MM, 17, 24, 24
MM, 17, 23, 24
MM, 16, 22, 8
MM, 16, 21, 41
MM, 15, 20, 15
MM, 15, 19, 16
MM, 15, 17, 16
MC, 1, 223
MM, 14, 17, 72
MM, 11, 19, 9
MM, 2, 25, 16
MM, 16, 1, 39
MM, 10, 6, 16
MM, 6, 10, 16
MM, 1, 13, 25
MM, 40, 22, 23
MM, 18, 31, 24
MM, 3, 1, 24
MM, 40, 8, 24
MM, 26, 14, 24
MM, 24, 15, 17
MM, 21, 17, 31
MM, 20, 17, 41
MM, 18, 18, 39
MM, 17, 18, 9
MM, 16, 18, 15
MC, 1, 290
MM, 15, 18, 87
MM, 11, 14, 24
MM, 5, 8, 32
MM, 0, 5, 16
MM, 36, 31, 48
MM, 31, 27, 24
MM, 31, 26, 16
MC, 1, 408
MM, 35, 27, 87
MM, 2, 0, 97
MM, 28, 2, 25
MM, 43, 4, 16
MM, 0, 4, 39
MM, 7, 6, 32
MM, 12, 7, 25
MM, 16, 8, 22
MM, 18, 9, 8
MM, 21, 10, 32
MM, 26, 11, 24
MM, 31, 13, 32
MM, 34, 14, 16
MM, 37, 15, 16
MM, 38, 15, 25
MM, 42, 16, 33
MM, 0, 16, 55
MM, 3, 17, 24
MM, 4, 17, 17
MM, 5, 17, 54
MM, 6, 17, 49
MM, 6, 18, 64
MM, 7, 18, 8
MM, 8, 18, 32
MC, 1, 272
MM, 7, 18, 225
MM, 6, 18, 39
MM, 4, 18, 32
MM, 3, 18, 32
MM, 1, 17, 64
MM, 4, 10, 1968
MM, 32, 31, 56
MM, 39, 29, 24
MM, 244, 2, 27321
MM, 288, 33, 33
MM, 306, 51, 31
MM, 316, 62, 23
MM, 1, 1, 120
MM, 6, 4, 24
MM, 10, 6, 29
MM, 11, 7, 51
MM, 29, 19, 24
MM, 36, 2, 344
MM, 38, 6, 16
MM, 40, 17, 112
MM, 42, 19, 40
MM, 42, 20, 23
